idx,mol_id,smiles,scaffold,split
78,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,c1ccc2c(c1)CC1NCCc3cccc-2c31,train
79,TOX2617,COC(=O)C1=CCCN(C)C1,C1=CCNCC1,train
80,TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,O=C1c2ccccc2C(=O)C1c1ccccc1,train
81,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],c1ccccc1,train
82,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],c1ccccc1,train
83,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,C1CC2CCC(C1)[NH2+]2,train
85,TOX1708,O=C([O-])c1ccccc1O,c1ccccc1,train
86,TOX1709,NC(=O)c1ccccc1,c1ccccc1,train
89,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,O=C1CNC(=O)N1,train
90,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,O=c1ccn(C2CCCO2)c(=O)[nH]1,train
91,TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,C1=Cc2ccccc2N(CCCN2CCNCC2)c2ccccc21,train
92,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,c1ccccc1,train
93,TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,c1ccc(C(CCCN2CCNCC2)c2ccccc2)cc1,train
94,TOX958,Nc1ccc([N+](=O)[O-])cc1N,c1ccccc1,train
95,TOX14836,[I-].[K+],[I-].[K+],train
96,TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,O=C(C=Cc1ccccc1)OC1CCCCC1,train
97,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,c1ccncc1,train
99,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,c1ccccc1,train
101,TOX4783,C=CC(=O)OCCCl,C=CC(=O)OCCCl,train
102,TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,c1ccsc1,train
104,TOX12375,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],O=C(NN=Cc1ccccn1)Nc1ccccc1,train
105,TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,c1ccc(Oc2ccc(C3(Cn4cncn4)OCCO3)cc2)cc1,train
106,TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,c1ccc2c(CCCC3CCCO3)cccc2c1,train
107,TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,O=S1(=O)CCCc2ccsc21,train
108,TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,O=S1(=O)NCCc2ccsc21,train
109,TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,c1ccc(Cc2ccccn2)cc1,train
110,TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,c1ccc2c(c1)NC1C3CC4CCN3C3CC21CC43,train
111,TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,train
112,TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,c1ccncc1,train
113,TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O,train
114,TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,C(=CC=CC=CC=CC=CC1=CCCCC1)C=CC=CC=CC=CC1=CCCCC1,train
115,TOX28630,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,O=C(CO)C(O)C(O)C(O)CO,train
116,TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,O=C(Nc1ccccc1)C1=COCCS1(=O)=O,train
117,TOX28636,CNCC(=O)c1ccc(O)c(O)c1,c1ccccc1,train
118,TOX24394,CC(C)(C)C1CCC(=O)CC1,O=C1CCCCC1,train
121,TOX3565,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,c1ncn(Cc2ccc3[nH]ccc3c2)n1,train
122,TOX28635,CCCCC(=O)[O-],CCCCC(=O)[O-],train
124,TOX26715,Nc1ccncc1N,c1ccncc1,train
125,TOX7014,CCCCCCC(C)O,CCCCCCC(C)O,train
127,TOX27088,CC1=C(CC=O)C(C)(C)CCC1,C1=CCCCC1,train
129,TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,C1=CC2OC23CCC2C4CCCC4CCC2C3C1,train
130,TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,c1ccc(C2(Cn3cncn3)OCCO2)cc1,train
131,TOX4930,Cc1ccc(N)c(N)c1,c1ccccc1,train
132,TOX4931,CCCCCNCCCCC,CCCCCNCCCCC,train
134,TOX4937,c1ccc2c(c1)Oc1ccccc1S2,c1ccc2c(c1)Oc1ccccc1S2,train
136,TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,O=C1CN=C(c2ccccn2)N1,train
137,TOX25914,NCC(=O)CCC(=O)O,NCC(=O)CCC(=O)O,train
138,TOX25447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,train
140,TOX25916,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1,train
141,TOX173,ClCOCCl,ClCOCCl,train
142,TOX179,CC(O)CNCC(C)O,CC(O)CNCC(C)O,train
143,TOX13979,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,C1CCC2C(C1)CCC1C3CCCC3CCC21,train
144,TOX17262,CC(=O)[C@H]1[C@H](C#N)C[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C1=C2CCCCC2C2CCC3CCCC3C2C1,train
145,TOX25007,O=[N+]([O-])c1ccc([As](=O)(O)O)cc1,c1ccccc1,train
146,TOX5886,CCOC(=O)C1OC1c1ccccc1,c1ccc(C2CO2)cc1,train
147,TOX5889,ONc1ccccc1,c1ccccc1,train
148,TOX5888,O=CC(=O)c1ccccc1,c1ccccc1,train
149,TOX21803,[Cu]I,[Cu]I,train
150,TOX21530,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],train
151,TOX25005,ClCc1ccc(Cl)cc1Cl,c1ccccc1,train
153,TOX6864,CCCCCCCC(=O)OC,CCCCCCCC(=O)OC,train
154,TOX6863,CC(O)COCC(C)O,CC(O)COCC(C)O,train
155,TOX31626,Cc1ccc(C(=O)C(=O)[O-])cc1C,c1ccccc1,train
156,TOX26644,O=C([O-])COc1nn(Cc2ccccc2)c2ccccc12,c1ccc(Cn2ncc3ccccc32)cc1,train
157,TOX2107,Cc1ncc[nH]1,c1c[nH]cn1,train
158,TOX27268,COc1ccc2sc(C(=O)Nc3nnn[n-]3)c(OC(C)C)c2c1,O=C(Nc1nnn[n-]1)c1cc2ccccc2s1,train
160,TOX27265,O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c1ccc(Oc2ccc(F)cc2)cc1,O=S(=O)(NC1CCCC1)c1ccc(Oc2ccccc2)cc1,train
162,TOX27267,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,c1cc(N2CCN(c3ncncn3)CC2)ncn1,train
163,TOX27261,CC[C@H](C)[C@@H](C(=O)O)n1sc2ccccc2c1=O,O=c1[nH]sc2ccccc12,train
166,TOX26647,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-],O=C1C=C2CCC3C4CCCC4CCC3C2CC1,train
168,TOX3721,CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,O=C1CC(OC2CCCCO2)CC(OC2CCCCO2)CCC2(CO2)C(=O)CCCCO1,train
169,TOX22379,CO[Si](C)(C)OC,CO[Si](C)(C)OC,train
170,TOX20283,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,c1ccc(Cc2ccccc2)cc1,train
171,TOX20287,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,c1ccc(Oc2ccccc2)cc1,train
172,TOX20285,CC(=O)c1ccccc1O,c1ccccc1,train
173,TOX20284,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,c1ccccc1,train
174,TOX20289,O=C(O)c1cccc(Cl)n1,c1ccncc1,train
176,TOX4704,Cc1ccc(C(C)(C)C)cc1,c1ccccc1,train
178,TOX10307,Nc1cc(Cl)cc(Cl)c1,c1ccccc1,train
180,TOX1559,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,c1ccccc1,train
181,TOX27484,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],train
183,TOX7249,O=Cc1ccc(C(=O)O)cc1,c1ccccc1,train
184,TOX7244,CCC(Cl)CCl,CCC(Cl)CCl,train
185,TOX7247,CC(C)(O)c1ccccc1,c1ccccc1,train
186,TOX7246,O=C1CCCN1,O=C1CCCN1,train
187,TOX7241,ClCc1ccccc1Cl,c1ccccc1,train
188,TOX7240,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,c1ccccc1,train
190,TOX24615,C=CC(=O)OCCOC(=O)C=C,C=CC(=O)OCCOC(=O)C=C,train
191,TOX24616,CCCC[P+](CCCC)(CCCC)CCCC,CCCC[P+](CCCC)(CCCC)CCCC,train
192,TOX24617,N#CCc1cccc(C(F)(F)F)c1,c1ccccc1,train
193,TOX24618,COc1cccc(Br)c1,c1ccccc1,train
194,TOX24619,CCCCCCCCNC,CCCCCCCCNC,train
195,TOX21884,CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1,c1ccc(Oc2ccc(OCC3COCO3)cc2)cc1,train
196,TOX3951,CC1=C(C(=O)Nc2ccccc2)SCCO1,O=C(Nc1ccccc1)C1=COCCS1,train
197,TOX3950,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,c1ccc2c(c1)CCO2,train
198,TOX21880,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C,c1cn[nH]c1,train
199,TOX26235,Cc1ccc2c(Br)cc(Br)c(O)c2n1,c1ccc2ncccc2c1,train
200,TOX768,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,train
201,TOX7312,CC(O)COc1ccccc1,c1ccccc1,train
202,TOX760,O=P1(NCCCl)OCCCN1CCCl,O=[PH]1NCCCO1,train
203,TOX761,C=CC(=C)C,C=CC(=C)C,train
205,TOX764,CC(C)OC(=O)Nc1cccc(Cl)c1,c1ccccc1,train
206,TOX766,CC(C)OC(=O)Nc1ccccc1,c1ccccc1,train
207,TOX767,CC=Cc1ccc2c(c1)OCO2,c1ccc2c(c1)OCO2,train
208,TOX17072,CCCC(CCC)C(=O)[O-],CCCC(CCC)C(=O)[O-],train
209,TOX21085,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,train
210,TOX26236,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,c1ccc2ccccc2c1,train
211,TOX21080,CCN(Cc1ccc(Cl)nc1)/C(=C/[N+](=O)[O-])NC,c1ccncc1,train
212,TOX27871,CC1CCC(C(C)C)C(OC(=O)c2ccccc2N)C1,O=C(OC1CCCCC1)c1ccccc1,train
213,TOX27870,O=C(c1ccccc1)c1cc(Cl)ccc1O,O=C(c1ccccc1)c1ccccc1,train
214,TOX27873,OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,C1CCOCC1,train
215,TOX27872,Cc1ccc(C=C2C(=O)C3CCC2C3(C)C)cc1,O=C1C(=Cc2ccccc2)C2CCC1C2,train
219,TOX6265,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,c1ccccc1,train
220,TOX6266,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO,O=c1[nH]c(=O)[nH]c(=O)[nH]1,train
221,TOX6267,Cc1cc(C)cc(OP(=O)(Oc2cc(C)cc(C)c2)Oc2cc(C)cc(C)c2)c1,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,train
222,TOX6261,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,train
223,TOX6262,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,O=c1n(CC2CO2)c(=O)n(CC2CO2)c(=O)n1CC1CO1,train
224,TOX6268,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])cc(N)c2c1O,c1ccc2cc(N=Nc3ccc(-c4ccc(N=Nc5ccc6ccccc6c5)cc4)cc3)ccc2c1,train
225,TOX5074,O=C(O)c1ccc(O)cc1O,c1ccccc1,train
226,TOX5076,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21,O=C1c2ccccc2C(=O)c2ccccc21,train
227,TOX5070,CC1=CC(C)(C)Nc2ccccc21,C1=Cc2ccccc2NC1,train
228,TOX5078,Cc1cc(=O)oc2cc(O)cc(O)c12,O=c1ccc2ccccc2o1,train
230,TOX3187,CNC1(c2ccccc2Cl)CCCCC1=O,O=C1CCCCC1c1ccccc1,train
233,TOX2394,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,O=c1c(-c2ccccc2)coc2ccccc12,train
234,TOX2396,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,train
235,TOX2391,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,O=c1cc(-c2ccccc2)oc2ccccc12,train
236,TOX2393,O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,O=C(CCc1ccccc1)c1ccccc1,train
237,TOX3049,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1,train
238,TOX3043,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,train
239,TOX3042,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,C1=CC(c2ccccc2)C=CN1,train
240,TOX3041,NC(=O)OCC(COC(N)=O)c1ccccc1,c1ccccc1,train
241,TOX3044,CCNC(C)Cc1cccc(C(F)(F)F)c1,c1ccccc1,train
242,TOX12412,COC(=O)c1ccc(C)cc1C1=NC(=O)C(C)(C(C)C)N1,O=C1CNC(c2ccccc2)=N1,train
243,TOX12417,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,c1ccccc1,train
244,TOX12416,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1,c1ncnc(NC2CC2)n1,train
245,TOX25254,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,train
246,TOX25252,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,train
250,TOX546,NC(=S)C(N)=S,NC(=S)C(N)=S,train
252,TOX540,O=C(Oc1ccccc1)Oc1ccccc1,O=C(Oc1ccccc1)Oc1ccccc1,train
253,TOX813,C[Hg]Cl,C[Hg]Cl,train
254,TOX810,S=c1[nH]cnc2[nH]cnc12,S=c1[nH]cnc2[nH]cnc12,train
255,TOX811,[Hg+2],[Hg+2],train
258,TOX819,COc1nn(CSP(=S)(OC)OC)c(=O)s1,O=c1[nH]ncs1,train
259,TOX26502,NC1=NCC2c3ccccc3Cc3ccccc3N12,C1=NCC2c3ccccc3Cc3ccccc3N12,train
260,TOX26503,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C,C1CCC2C(C1)CCC1C3CCCC3CCC21,train
261,TOX26500,O=C([O-])CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(Cl)c1,C(=CC1CCCC1)CCOc1ccccc1,train
262,TOX26501,O=C(O)Cc1ccc(CCNS(=O)(=O)c2ccc(Cl)cc2)cc1,O=S(=O)(NCCc1ccccc1)c1ccccc1,train
263,TOX26506,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,c1ccc(Cn2ccnn2)cc1,train
264,TOX26055,COc1ccc(C=CC(=O)OCCC(C)C)cc1,c1ccccc1,train
265,TOX26504,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,train
266,TOX29089,CCn1cc[n+](C)c1C.O=S(=O)([O-])C(F)(F)F,c1c[nH+]c[nH]1,train
267,TOX29086,Clc1ccc2cc3ccccc3cc2c1,c1ccc2cc3ccccc3cc2c1,train
268,TOX29087,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,c1c[nH+]c[nH]1,train
269,TOX26508,F/C(COc1ccc2c(c1)[nH]c1ccccc12)=C1/CN2CCC1CC2,C(COc1ccc2c(c1)[nH]c1ccccc12)=C1CN2CCC1CC2,train
270,TOX26509,CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1,c1ccccc1,train
