NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,MolWt,LogP,TPSA,HDonors,HAcceptors,RotBonds,RingCount,AromaticRings,ExactMolWt
0,0,0,,0,0,,0,0,0,,0,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,314.86,4.528400000000004,6.48,0,2,4,3,2,314.1549764
0,0,0,0,0,0,0,0,0,0,0,0,TOX1883,C#CCO,56.064,-0.3881,20.23,1,1,0,0,0,56.02621475
0,0,0,0,0,0,0,0,0,0,,0,TOX4463,Nc1ccccc1S(=O)(=O)O,173.19299999999998,0.5155000000000001,80.39,2,3,1,1,1,173.0146641
0,0,0,0,0,0,0,0,0,0,0,0,TOX1885,CC(O)CC(C)(C)O,118.17599999999999,0.5282,40.46,2,2,2,0,0,118.0993797
0,0,0,0,0,0,0,0,0,0,0,0,TOX1886,CC(C)(C)CC(C)(C)N,129.24699999999999,2.1599000000000004,26.02,1,1,1,0,0,129.1517496
0,0,0,0,0,0,0,0,0,0,0,0,TOX1889,CC(=O)CC(C)C,100.16099999999999,1.6215,17.07,0,1,2,0,0,100.088815
0,0,0,0,0,0,0,0,0,0,0,0,TOX1888,CCCC(C)=O,86.13399999999999,1.3755,17.07,0,1,2,0,0,86.07316494
0,0,1,0,0,0,0,0,0,0,0,0,TOX4465,Nc1nc2ccccc2[nH]1,133.15399999999997,1.1451,54.699999999999996,2,2,0,2,2,133.0639972
0,,1,,,0,,1,0,0,1,1,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,266.33799999999997,4.6592,20.23,1,1,0,1,1,263.8470031
0,0,0,0,0,0,0,0,0,0,0,0,TOX161,c1ccc(-c2ccccc2)cc1,154.21199999999996,3.353600000000001,0,0,0,1,2,2,154.0782503
0,0,1,0,0,,0,0,0,0,,0,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,219.07099999999997,2.7447,41.13,2,1,1,1,1,218.0013682
0,0,0,0,,0,0,0,0,0,,0,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,183.63799999999998,2.606820000000001,29.1,1,1,1,1,1,183.0450916
0,0,0,0,0,0,0,0,0,1,0,0,TOX22187,CCCCNC(=S)NCCCC,188.33999999999995,2.0507,24.06,2,1,6,0,0,188.1347196
0,0,0,0,0,0,0,0,0,0,0,0,TOX22188,CCCCNC(=O)NCCCC,172.27199999999993,1.8858,41.13,2,1,6,0,0,172.1575633
0,0,0,0,0,0,0,0,0,0,0,0,TOX22189,CC(C)N(c1ccccc1)C(C)C,177.29099999999997,3.309800000000002,3.24,0,1,3,1,1,177.1517496
0,0,0,0,0,0,0,0,0,0,0,0,TOX7876,CCc1cccc(C)c1,120.19499999999996,2.5574200000000005,0,0,0,1,1,1,120.0939004
0,0,0,0,0,0,0,,0,0,0,0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,438.6330000000002,9.3187,27.69,0,3,20,1,1,438.32628199399994
0,0,0,,0,0,0,0,0,1,0,0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,356.547,4.920300000000006,66.76,2,4,18,0,0,356.29265975999994
0,0,0,0,0,0,0,1,0,0,0,0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,266.381,4.163100000000004,43.370000000000005,0,3,10,1,0,266.1881947
0,0,,0,0,,,0,0,,1,,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,502.9200000000002,7.395680000000005,71.35,1,5,8,3,3,502.12710490399996
0,0,0,0,0,0,0,0,0,0,0,0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],438.76700000000005,3.748700000000002,115.61000000000001,1,6,5,2,2,437.9900194
0,0,0,1,,0,0,0,0,0,0,0,TOX4113,CCOP(=S)(CC)Sc1ccccc1,246.33700000000005,4.144600000000003,9.23,0,3,5,1,1,246.03019372999998
0,0,0,0,0,0,0,0,0,0,0,0,TOX27698,CC/C=C\CCCCO,128.215,2.1152,20.23,1,1,5,0,0,128.1201151
,0,1,,1,0,0,1,1,0,1,0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,263.296,3.641200000000002,52.32000000000001,1,3,2,3,3,263.0946287
0,0,1,0,0,0,0,,0,0,0,0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,324.4240000000001,3.1732000000000014,45.59,1,4,4,5,2,324.183778
0,0,0,0,0,0,0,0,0,0,0,0,TOX10138,CC(=O)CCC(C)=O,114.14399999999999,0.9446,34.14,0,2,3,0,0,114.0680796
0,0,0,0,0,0,0,0,0,0,0,0,TOX21464,N#CCCNCCC#N,123.15899999999999,0.40336,59.61,1,3,4,0,0,123.07964728799999
0,0,0,0,0,0,0,,0,0,,0,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,634.6920000000003,7.293400000000009,182.29999999999998,0,12,12,4,4,634.120303
0,0,,0,0,0,0,1,0,0,,0,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,431.4030000000002,1.2058,161.43,0,9,3,4,3,430.9780554078199
0,0,0,,,0,0,1,0,0,,0,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,629.6320000000002,6.436700000000006,213.17,2,12,8,5,5,629.0686017278199
0,0,0,,0,0,,0,0,0,,0,TOX24000,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,356.56,4.4043000000000045,6.48,0,4,2,4,2,356.1380908
0,0,0,,0,0,,,0,0,,0,TOX24002,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,318.339,3.201500000000001,56.84,1,4,9,1,1,318.1555126
0,0,0,0,0,0,0,0,0,0,0,0,TOX27071,Cc1ccccc1CCO,136.19400000000002,1.52982,20.23,1,1,2,1,1,136.088815
0,0,0,0,0,0,0,0,0,0,0,0,TOX27070,Cc1nc(C)c(C)nc1C,136.19799999999998,1.7102799999999998,25.78,0,2,0,1,1,136.1000484
0,0,0,0,0,0,0,0,0,0,0,0,TOX27072,CC1=CC(O)CC(C)(C)C1,140.226,2.1136,20.23,1,1,0,1,0,140.1201151
0,0,0,0,0,0,0,0,0,0,0,0,TOX27075,Cc1cnc(C)c(C)n1,122.17099999999999,1.4018599999999999,25.78,0,2,0,1,1,122.08439831999999
0,0,0,0,,0,0,0,0,0,0,0,TOX27074,CC(C)COC(=O)c1ccccc1,178.231,2.4994000000000005,26.3,0,2,3,1,1,178.0993797
0,0,0,0,,0,0,0,0,0,0,0,TOX27078,C=C(C)[C@@H]1CC=C(C)CC1,136.23799999999997,3.308900000000002,0,0,0,1,1,0,136.1252005
0,0,0,0,0,0,0,0,0,0,0,0,TOX19719,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],164.086,-0.859,132.4,0,6,0,0,0,163.93822670000003
0,0,1,0,,0,0,1,0,0,1,,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1,153.14100000000002,0.7592000000000001,95.18,2,4,1,1,1,153.0538265
0,0,1,,0,0,0,0,0,0,,0,TOX24915,CC1COc2ccccc2N1,149.19299999999998,1.8793999999999997,21.259999999999998,1,2,0,2,1,149.084064
0,0,0,0,0,0,0,0,0,0,,0,TOX24914,O=C(O)c1cc(Cl)cc(Cl)c1O,207.012,2.3972,57.53,2,2,1,1,1,205.9537493
0,,0,,,,,,0,,,,TOX24913,CCCCCCCCCCCC(=O)NCCCN(C)C,284.488,3.9752000000000027,32.34,1,2,14,0,0,284.2827638
0,0,0,0,0,0,0,0,0,0,0,0,TOX24911,CC(C)CCCCCOC(=O)CCS,218.362,3.0659000000000023,26.3,1,3,8,0,0,218.1340509
0,0,0,0,0,0,0,0,0,0,0,0,TOX956,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,263.037,-1.1386,120.9,3,4,2,1,1,262.9411084
0,0,0,0,0,0,0,0,0,0,0,1,TOX24919,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,398.5680000000001,1.9720999999999997,78.9,3,9,13,0,0,398.0891515519999
0,0,1,0,0,0,0,0,0,0,,0,TOX24918,C=CCOc1c(Br)cc(Br)cc1Br,370.86600000000004,4.538900000000002,9.23,0,1,3,1,1,367.80470114400003
0,0,0,0,0,0,0,,0,0,0,0,TOX9739,F[B-](F)(F)F.[H+],87.81200000000001,1.4125,0,0,0,0,0,0,88.01074331
0,0,0,0,0,0,0,0,0,0,0,0,TOX9733,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,156.269,2.439500000000001,20.23,1,1,1,1,0,156.1514153
0,0,1,,1,0,0,1,0,0,,0,TOX6050,C(=C/c1ccccc1)\c1ccccc1,180.24999999999997,3.857000000000003,0,0,0,2,2,2,180.0939004
0,0,,,,0,0,0,0,0,,0,TOX5649,Cc1ccc2c(ccc3ccccc32)c1,192.261,4.301420000000003,0,0,0,0,3,3,192.0939004
0,0,0,0,0,0,0,0,0,0,0,0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,266.25699999999995,-1.1934,80.28,0,8,2,3,2,266.1015049
0,0,0,0,1,1,0,,0,0,0,1,TOX2967,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,246.19400000000002,-1.6852,104.55000000000001,3,6,1,2,1,246.0651997
0,0,1,,,0,0,1,0,,,0,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,267.328,2.8499000000000025,43.7,2,3,0,4,2,267.1259288
0,0,0,0,0,0,0,0,0,0,0,0,TOX2617,COC(=O)C1=CCCN(C)C1,155.197,0.4213,29.54,0,3,1,1,0,155.0946287
,,,,,,,0,,0,,,TOX2611,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,252.269,2.8580000000000005,43.370000000000005,0,3,2,3,2,252.0786442
0,0,0,0,0,0,0,0,0,0,0,0,TOX5642,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],181.147,1.60142,80.44,1,3,2,1,1,181.0375077
0,0,0,0,0,0,0,0,0,0,0,0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],181.14699999999996,1.60142,80.44,1,3,2,1,1,181.0375077
0,0,0,0,0,0,0,,0,,0,0,TOX2612,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,282.448,3.5158000000000023,26.3,0,2,6,2,0,282.2427557
0,0,0,0,0,0,0,0,0,0,0,0,TOX27158,CCCCCC(C)O,116.20399999999998,1.9475000000000002,20.23,1,1,4,0,0,116.1201151
0,0,0,0,0,0,0,0,0,0,,0,TOX1708,O=C([O-])c1ccccc1O,137.11399999999998,-0.2443,60.36,1,3,1,1,1,137.0244176
0,0,0,0,0,0,0,0,0,0,0,0,TOX1709,NC(=O)c1ccccc1,121.13899999999995,0.7855000000000001,43.09,1,1,1,1,1,121.0527638
,,,,,,,0,,0,,,TOX25756,CCN1CCc2nc(N)oc2CC1,181.23899999999998,0.6773000000000001,55.290000000000006,1,4,1,2,1,181.1215121
0,0,0,,,0,0,,0,,,0,TOX25757,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,361.52900000000017,4.844800000000005,23.47,1,2,0,5,2,361.2405646
0,0,0,0,0,0,0,0,0,0,0,0,TOX9559,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,278.221,-3.6125,153.88,5,7,5,1,0,278.0862488
,0,0,0,0,0,0,,0,,0,0,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,333.13800000000003,-0.4571,104.55000000000001,3,6,3,2,1,332.00078361600004
0,0,0,0,0,0,,0,0,0,,0,TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,363.50500000000017,3.308500000000002,29.950000000000003,1,4,6,4,2,363.2310625
0,0,0,0,0,0,0,0,0,0,0,0,TOX25753,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,266.34099999999995,0.45210000000000006,84.57999999999998,3,4,8,1,1,266.1630426
0,,0,,,0,,1,0,0,0,0,TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,401.5010000000001,4.224000000000004,35.580000000000005,1,2,7,3,2,401.227869
0,0,1,0,1,1,0,1,0,,1,0,TOX958,Nc1ccc([N+](=O)[O-])cc1N,153.141,0.7592000000000001,95.17999999999999,2,4,1,1,1,153.0538265
0,0,0,0,0,0,0,0,0,0,0,0,TOX14836,[I-].[K+],166.002,-5.992,0,0,0,0,0,0,165.8681797
0,0,0,0,0,0,0,0,0,0,0,0,TOX4786,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,354.31100000000004,-0.6459,164.75,6,8,4,2,1,354.09508215599993
0,,1,,0,0,,1,0,0,1,0,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,198.436,2.7474,33.120000000000005,1,2,0,1,1,196.9201967
0,0,0,0,0,0,0,1,0,0,0,0,TOX5391,C/C=C/C=C/C=O,96.12899999999999,1.3176,17.07,0,1,2,0,0,96.05751488
1,,0,,,0,,1,0,0,,0,TOX4781,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,270.54999999999995,3.1752000000000002,86.28,0,4,2,1,1,269.9655189
0,0,0,0,0,1,0,0,0,0,0,0,TOX5395,C[Si](C)(C)N[Si](C)(C)C,161.397,2.2458,12.03,1,1,2,0,0,161.1056027
0,0,0,0,0,0,0,,0,0,0,0,TOX4783,C=CC(=O)OCCCl,134.562,0.9543999999999999,26.3,0,2,3,0,0,134.0134571
0,0,0,1,0,0,,1,0,0,,0,TOX12376,COCC(C)N(C(=O)CCl)c1c(C)csc1C,275.80100000000004,2.9716400000000016,29.54,0,3,5,1,1,275.0746775
0,0,0,0,0,0,0,,0,0,0,0,TOX25538,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,525.6420000000002,-0.6532,172.45999999999998,3,13,10,4,2,525.1035132
0,0,,0,0,0,0,0,0,0,0,0,TOX12375,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],333.27400000000006,1.2690000000000001,106.50999999999999,2,5,4,2,2,333.0804702
0,0,0,,,,,1,,0,,,TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,406.2690000000001,4.665500000000003,58.400000000000006,0,6,5,4,3,405.0646968
0,0,0,0,0,0,0,0,0,0,0,0,TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,383.5320000000002,4.452600000000004,38.769999999999996,0,4,10,3,2,383.2460439
0,0,0,0,0,0,0,0,0,0,0,0,TOX25530,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,324.44900000000007,0.612,106.32999999999998,2,6,3,2,1,324.02721999199997
0,0,0,0,0,0,0,0,0,0,0,0,TOX25531,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,383.5170000000001,0.0869,118.79999999999998,2,7,7,2,1,383.0643338
0,0,0,0,0,0,0,0,0,0,0,0,TOX25536,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.4830000000001,3.361900000000002,59.22,1,3,8,2,2,339.2310625
0,0,0,0,0,0,0,,0,,,0,TOX25537,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,326.44,1.5545,46.94,2,4,1,7,1,326.1994281
1,0,0,,0,,0,0,,0,,0,TOX25534,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,434.50400000000025,2.2747000000000006,93.06,2,6,2,5,0,434.2104669319999
0,0,0,,0,0,0,0,0,0,,0,TOX12379,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,401.42200000000014,5.242900000000003,47.03,0,5,5,1,1,401.05426185199997
0,0,0,0,,0,0,0,0,0,0,0,TOX28632,O=C(O)/C=C(\CC(=O)O)C(=O)O,174.108,-0.4433,111.89999999999999,3,3,4,0,0,174.01643791200001
0,0,0,0,0,0,0,,0,,0,0,TOX28633,CCCCCCCCCCCCCCCC(=O)O[C@@H]1CC(C)=C(/C=C/C(C)=C/C=C/C(C)=C/C=C\C=C(C)\C=C\C=C(C)\C=C\C2=C(C)C[C@@H](OC(=O)CCCCCCCCCCCCCCC)CC2(C)C)C(C)(C)C1,1045.7159999999988,22.611800000000017,52.6,0,4,40,2,0,1044.8873621920002
,,,,,,,0,,0,,,TOX28630,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,180.15599999999998,-3.3772,118.22000000000001,5,6,5,0,0,180.0633881
0,0,0,,,0,,1,0,,,1,TOX14792,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,267.306,1.3016,72.47,1,4,2,2,1,267.05652889600003
,,,,,,,0,,0,,,TOX28636,CNCC(=O)c1ccc(O)c(O)c1,181.19099999999997,0.49990000000000007,69.56,3,4,3,1,1,181.0738932
0,0,0,,0,0,0,0,0,1,0,0,TOX24394,CC(C)(C)C1CCC(=O)CC1,154.25299999999996,2.791800000000001,17.07,0,1,0,1,0,154.1357652
0,0,0,0,0,0,0,0,0,0,0,0,TOX3568,CN(C)[C@@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3C[C@@H]12,527.5740000000002,0.46980000000000227,170.86999999999998,6,10,4,5,1,527.2267650159998
0,0,,0,0,0,0,,0,,0,,TOX28634,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,270.76300000000003,3.627200000000003,15.6,0,2,1,3,2,270.0923762
0,0,0,0,0,0,0,,0,,0,0,TOX3565,CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,269.35200000000003,1.9118000000000002,49.74,1,4,5,3,3,269.1640456
0,0,0,0,0,0,0,,0,,0,0,TOX28635,CCCCC(=O)[O-],101.12499999999999,-0.0735,40.129999999999995,0,2,3,0,0,101.0608031
0,0,0,0,0,0,0,0,0,0,0,0,TOX7019,CCCCCCCCCCCCCC(=O)OC,242.40299999999993,4.8605000000000045,26.3,0,2,12,0,0,242.2245802
,,,,,,,0,,0,,,TOX26715,Nc1ccncc1N,109.132,0.2460000000000001,64.92999999999999,2,3,0,1,1,109.06399722399999
0,0,0,0,0,0,0,0,0,0,0,0,TOX7014,CCCCCCC(C)O,130.231,2.3376000000000006,20.23,1,1,5,0,0,130.1357652
0,0,0,0,0,0,0,0,0,0,0,0,TOX22494,CCC[Si](OC)(OC)OC,164.27699999999996,1.2745,27.69,0,3,5,0,0,164.0868709
0,0,0,0,0,0,0,0,0,0,0,0,TOX27088,CC1=C(CC=O)C(C)(C)CCC1,166.26399999999995,3.102000000000002,17.07,0,1,2,1,0,166.1357652
0,0,0,0,,0,0,0,0,0,0,0,TOX3702,NCCNCCNCCN,146.238,-1.917,76.1,4,4,7,0,0,146.15314657599998
1,1,0,,1,0,0,1,0,0,,1,TOX3706,C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(O)=C(C#N)C[C@]35C)[C@@H]1CC[C@@H]2O,329.44000000000005,3.466880000000002,76.78,2,4,0,5,0,329.1990937
0,0,1,1,,0,0,1,0,0,0,0,TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,342.2260000000001,3.653400000000003,49.17,0,5,5,3,2,341.0697821
0,0,1,0,1,1,0,1,1,1,,0,TOX4930,Cc1ccc(N)c(N)c1,122.17100000000002,1.1594200000000001,52.04,2,2,0,1,1,122.08439831999999
0,0,0,0,0,0,0,0,0,0,0,0,TOX4931,CCCCCNCCCCC,157.301,2.9564000000000012,12.03,1,1,8,0,0,157.1830497
0,0,0,0,1,0,0,0,0,0,0,0,TOX4284,COCC(C)O,90.122,0.013600000000000112,29.46,1,2,2,0,0,90.06807956
0,0,0,0,1,0,0,0,0,0,1,0,TOX4937,c1ccc2c(c1)Oc1ccccc1S2,200.262,3.943500000000001,9.23,0,2,0,3,2,200.0295859
0,0,0,0,0,0,0,0,0,0,0,0,TOX4286,CC1CN1,57.096,-0.0219,21.94,1,1,0,1,0,57.057849223999995
0,0,0,0,0,0,0,0,0,0,0,0,TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,289.335,1.6333000000000002,91.65,2,4,4,2,1,289.1426415
,,,,,,,,,0,,,TOX25914,NCC(=O)CCC(=O)O,131.131,-0.621,80.39,2,3,4,0,0,131.0582431
0,,,1,0,,0,,0,1,0,,TOX25447,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,416.1350000000001,6.454800000000002,27.05,0,3,6,3,3,413.98602378799995
0,0,0,0,0,0,0,0,0,0,1,0,TOX175,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,402.0640000000001,6.674800000000002,44.24,0,4,4,3,3,399.9339882
0,0,1,0,,0,0,0,0,0,1,0,TOX25916,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,406.482,3.738000000000002,75.74000000000001,3,5,10,4,4,406.1892573
0,0,0,0,1,0,0,0,0,0,0,0,TOX173,ClCOCCl,114.959,1.3956,9.23,0,1,2,0,0,113.9639201
0,0,0,0,0,0,0,0,0,0,0,0,TOX179,CC(O)CNCC(C)O,133.191,-0.6624,52.489999999999995,3,3,4,0,0,133.1102787
